# C++ name	package	module	Luce name	file:line	kind
Gfx::Bitmap::Bitmap	luce-browser-render	gfx	bitmap_construct_core_anonymous_buffer	Libraries/LibGfx/Bitmap.cpp:154	construct
Gfx::Bitmap::Bitmap	luce-browser-render	gfx	bitmap_construct_int_size_backing_store	Libraries/LibGfx/Bitmap.cpp:100	construct
Gfx::Bitmap::Bitmap	luce-browser-render	gfx	bitmap_construct_int_size_usize	Libraries/LibGfx/Bitmap.cpp:123	construct
Gfx::Bitmap::DiffResult	luce-browser-render	gfx	BitmapDiffResult	Libraries/LibGfx/Bitmap.h:114	opaque
Gfx::Bitmap::InitializeBackingStore	luce-browser-render	gfx	BitmapInitializeBackingStore	Libraries/LibGfx/Bitmap.h:145	enum
Gfx::Bitmap::allocate_backing_store	luce-browser-render	gfx	bitmap_allocate_backing_store	Libraries/LibGfx/Bitmap.cpp:250	stub
Gfx::Bitmap::alpha_type	luce-browser-render	gfx	bitmap_alpha_type	Libraries/LibGfx/Bitmap.h:137	stub
Gfx::Bitmap::anonymous_buffer	luce-browser-render	gfx	bitmap_anonymous_buffer	Libraries/LibGfx/Bitmap.h:111	stub
Gfx::Bitmap::anonymous_buffer	luce-browser-render	gfx	bitmap_anonymous_buffer_const	Libraries/LibGfx/Bitmap.h:112	stub
Gfx::Bitmap::begin	luce-browser-render	gfx	bitmap_begin	Libraries/LibGfx/Bitmap.h:204	stub
Gfx::Bitmap::begin	luce-browser-render	gfx	bitmap_begin_const	Libraries/LibGfx/Bitmap.h:209	stub
Gfx::Bitmap::clone	luce-browser-render	gfx	bitmap_clone	Libraries/LibGfx/Bitmap.cpp:165	stub
Gfx::Bitmap::create	luce-browser-render	gfx	bitmap_create_alpha_type	Libraries/LibGfx/Bitmap.cpp:81	stub
Gfx::Bitmap::create	luce-browser-render	gfx	bitmap_create_int_size	Libraries/LibGfx/Bitmap.cpp:75	stub
Gfx::Bitmap::create_shareable	luce-browser-render	gfx	bitmap_create_shareable	Libraries/LibGfx/Bitmap.cpp:87	stub
Gfx::Bitmap::create_with_anonymous_buffer	luce-browser-render	gfx	bitmap_create_with_anonymous_buffer	Libraries/LibGfx/Bitmap.cpp:136	stub
Gfx::Bitmap::create_with_raw_data	luce-browser-render	gfx	bitmap_create_with_raw_data	Libraries/LibGfx/Bitmap.cpp:144	stub
Gfx::Bitmap::create_wrapper	luce-browser-render	gfx	bitmap_create_wrapper	Libraries/LibGfx/Bitmap.cpp:116	stub
Gfx::Bitmap::cropped	luce-browser-render	gfx	bitmap_cropped	Libraries/LibGfx/Bitmap.cpp:175	stub
Gfx::Bitmap::data_size	luce-browser-render	gfx	bitmap_data_size	Libraries/LibGfx/Bitmap.h:224	stub
Gfx::Bitmap::diff	luce-browser-render	gfx	bitmap_diff	Libraries/LibGfx/Bitmap.cpp:271	stub
Gfx::Bitmap::end	luce-browser-render	gfx	bitmap_end	Libraries/LibGfx/Bitmap.h:214	stub
Gfx::Bitmap::end	luce-browser-render	gfx	bitmap_end_const	Libraries/LibGfx/Bitmap.h:219	stub
Gfx::Bitmap::format	luce-browser-render	gfx	bitmap_format	Libraries/LibGfx/Bitmap.h:100	stub
Gfx::Bitmap::get_pixel	luce-browser-render	gfx	bitmap_get_pixel	Libraries/LibGfx/Bitmap.h:229	stub
Gfx::Bitmap::has_alpha_channel	luce-browser-render	gfx	bitmap_has_alpha_channel	Libraries/LibGfx/Bitmap.h:99	stub
Gfx::Bitmap::height	luce-browser-render	gfx	bitmap_height	Libraries/LibGfx/Bitmap.h:93	stub
Gfx::Bitmap::minimum_pitch	luce-browser-render	gfx	bitmap_minimum_pitch	Libraries/LibGfx/Bitmap.cpp:46	stub
Gfx::Bitmap::pitch	luce-browser-render	gfx	bitmap_pitch	Libraries/LibGfx/Bitmap.h:95	stub
Gfx::Bitmap::rect	luce-browser-render	gfx	bitmap_rect	Libraries/LibGfx/Bitmap.h:90	stub
Gfx::Bitmap::scaled	luce-browser-render	gfx	bitmap_scaled	Libraries/LibGfx/Bitmap.cpp:197	stub
